2022-10-07 08:55:01 status half-installed liblzma5:amd64 5.2.5-2.1~deb11u1
2022-10-07 08:55:01 status unpacked liblzma5:amd64 5.2.5-2.1~deb11u1
2022-10-07 08:55:01 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2+deb11u2
2022-10-07 08:55:01 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2+deb11u2
2022-10-07 08:55:01 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2+deb11u2
2022-10-07 08:55:01 startup packages configure
2022-10-07 08:55:01 configure lsb-base:all 11.1.0 <none>
2022-10-07 08:55:01 status unpacked lsb-base:all 11.1.0
2022-10-07 08:55:01 status half-configured lsb-base:all 11.1.0
2022-10-07 08:55:01 status installed lsb-base:all 11.1.0
2022-10-07 08:55:01 configure libtirpc-common:all 1.3.1-1+deb11u1 <none>
2022-10-07 08:55:01 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2022-10-07 08:55:01 status half-configured libtirpc-common:all 1.3.1-1+deb11u1
2022-10-07 08:55:01 status installed libtirpc-common:all 1.3.1-1+deb11u1
2022-10-07 08:55:01 configure debian-archive-keyring:all 2021.1.1 <none>
2022-10-07 08:55:01 status unpacked debian-archive-keyring:all 2021.1.1
2022-10-07 08:55:01 status half-configured debian-archive-keyring:all 2021.1.1
2022-10-07 08:55:01 status installed debian-archive-keyring:all 2021.1.1
2022-10-07 08:55:01 configure libaudit-common:all 1:3.0-2 <none>
2022-10-07 08:55:01 status unpacked libaudit-common:all 1:3.0-2
2022-10-07 08:55:01 status half-configured libaudit-common:all 1:3.0-2
2022-10-07 08:55:01 status installed libaudit-common:all 1:3.0-2
2022-10-07 08:55:01 configure libsemanage-common:all 3.1-1 <none>
2022-10-07 08:55:01 status unpacked libsemanage-common:all 3.1-1
